NameModern,NameAncient,AncientLocation1,AncientLocation2,AncientLocation3,LocationModern1,LocationModern2,LocationModern3,Latitude,Longitude,GeolocationSource,GeolocationCitation,GeolocationCertainty,Date,DateLow,DateHigh,DateDecision,Citation,ObjectType,Stance,DressStyle,HairStyle,Expression,HeightMeters,Material,Honorand,HonorandStatus,Awarder,AwarderStatus,Naturalism,RomanClassical,ReligionPresent,LanguageUsed,TextType
Fragmentary Plaque From Base for Statue ,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.889408,12.513756,Archaeological Excavation,Google Maps,80%,330,330,330,330,"Last Statues of Antiquity, University of Oxford",Plaque,None,None,None,None,Unknown,Marble,Helena,Imperial Family,"Iulius Maximilianus ""comes"" = companion",High Imperial Office Holder,Null,Null,No,Null,Null
Portrait Head of Young Woman with Encircling Braid and Curls Around Brow,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.900267,12.524069,Archaeological Excavation,Google Maps,60%,305,285,325,305,"Last Statues of Antiquity, University of Oxford",Head,None,None,Encircling Braid,Pleased,0.27,Marble,Unknown,Unknown,Unknown,Unknown,Yes,Yes,No,Null,Null
Portrait Statue of Woman in Pudicitia Pose,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.91896,12.499886,Archaeological Excavation,Google Maps,70%,325,300,350,325,"Last Statues of Antiquity, University of Oxford",Statue,Pudicitia,Himation,Encircling Braid,Solemn,1.75,Marble,Unknown,Unknown,Unknown,Unknown,No,No,No,Null,Null
Portrait Bust of Girl,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.91889,12.499892,Archaeological Excavation,Google Maps,60%,308,290,326,308,"Last Statues of Antiquity, University of Oxford",Bust,None,Palla,Bun,Solemn,0.44,Marble,Unknown,Unknown,Unknown,Unknown,No,No,No,Null,Null
Base for Statue of Constantina,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.885631,12.505742,Archaeological Excavation,Google Maps,90%,339,337,340,339,"Last Statues of Antiquity, University of Oxford",Base,None,None,None,None,1.35,Marble,Constantina,Imperial Family,Flavius Gavianus,High Imperial Office Holder,Null,Null,No,Null,Null
Base for Statue of Empress Eudoxia,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.887492,12.503597,Archaeological Excavation,Google Maps,85%,447,439,455,447,"Last Statues of Antiquity, University of Oxford",Base,None,None,None,None,1.795,Marble,Eudoxia Augusta,Imperial Family,Flavius Florenus,Unknown,Null,Null,No,Null,Null
Portrait Head of Woman With Large Central Braid and Curled Fringe,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.900274,12.524075,Archaeological Excavation,Google Maps,60%,288,275,300,288,"Last Statues of Antiquity, University of Oxford",Head,None,None,Central Braid,,,,,,,,,,No,,
Graywacke Portrait Statue of Agrippina The Younger,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.88329,12.500025,Archaeological Excavation,Google Maps,80%,413,325,500,413,"Last Statues of Antiquity, University of Oxford",Statue,Contrapposto,Himation,Diadem,Solemn,2.12,Colored Marble,Unknown,Imperial Family,Unknown,Unknown,Yes,Yes,No,Null,Null
Base for Statue of Roma,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.759162,12.300495,Archaeological Excavation,Google Maps,80%,387,385,389,387,"Last Statues of Antiquity, University of Oxford",Base,None,None,None,None,1.14,Marble,Roma,Deities and Heroes,Ragonius Vincentius Celsus,Officials of Rome,Null,Null,No,Null,Null
Statue of Cybele,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.764254,12.28905,Archaeological Excavation,Google Maps,60%,325,250,400,325,"Last Statues of Antiquity, University of Oxford",Statue,Seated,Unclear,Unclear,Solemn,0.98,Marble,Cybele,Unknown,Virius Marcarianus,Officials of Rome,No,No,No,Null,Null
Base for Statue of Victoria Augusta,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.768192,12.311959,Archaeological Excavation,Google Maps,60%,367,366,367,367,"Last Statues of Antiquity, University of Oxford",Base,None,None,None,None,0.96,Marble,Victoria,Unknown,Senate and People of Rome,Senate and People of Rome,Null,Null,No,Null,Null
Base for Statue of Victoria,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.768536,12.311516,Conjecture,Google Maps,60%,367,366,367,367,"Last Statues of Antiquity, University of Oxford",Base,None,None,None,None,1.2,Marble,Victory,Unknown,Senate and People of Rome,Senate and People of Rome,Null,Null,No,Null,Null
Wing of Bronze Statue of Victory,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.768515,12.312544,Conjecture,Google Maps,60%,366,365,367,366,"Last Statues of Antiquity, University of Oxford",Statue,None,None,None,None,1.05,Bronze,Victoria,Unknown,Senate and People of Rome,Senate and People of Rome,Null,Null,No,Null,Null
Portrait Head of A Girl,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,40.7505,14.486298,Conjecture,Google Maps,70%,310,270,350,310,"Last Statues of Antiquity, University of Oxford",Head,None,None,Unclear,Solemn,Unknown,Marble,Unknown,Unknown,Unknown,Unknown,No,No,No,Null,Null
Plaque from Base for Posthumous Statue of Thermantia,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.890468,12.489478,Archaeological Excavation,Google Maps,60%,390,389,391,390,"Last Statues of Antiquity, University of Oxford",Plaque,None,None,None,None,1.61,Marble,Thermantia,Imperial Family,Ceionius Rufius Albinus ,Prefect of Rome,Null,Null,No,Null,Null
Literary Record of Silver Statue of Constantia,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.830375,12.483929,Conjecture,Google Maps,60%,379,374,383,379,"Last Statues of Antiquity, University of Oxford",Statue,None,None,None,None,Unknown,Silver,Constantia,Imperial Family,Unknown,Unknown,Null,Null,No,Null,Null
Female Portrait Head,Null,Pozzuoli,Campania,Naples,Pozzuoli,Campania,Naples,40.827814,14.120076,Conjecture,Google Maps,70%,388,375,400,388,"Last Statues of Antiquity, University of Oxford",Head,None,None,Encircling Braid,Pleased,0.22,Marble,Unknown,Unknown,Unknown,Unknown,No,No,No,Null,Null
Base for Statue of the Fortune of the Times of Valentinian I,Felicitas,Puteoli,Campania,Naples,Puteoli,Campania,Naples,40.84685,14.267596,Archaeological Excavation,Google Maps,80%,370,364,375,370,"Last Statues of Antiquity, University of Oxford",Base,None,None,None,None,1.33,Marble,Fortuna,Deities and Heroes,Avianius Valentinus,Provincial Governor,Null,Null,No,Null,Null
Portrait Head of Woman with Bonnet and Holes for Inlaid Irises,Null,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,40.845179,14.280049,Conjecture,Google Maps,60%,490,450,530,490,"Last Statues of Antiquity, University of Oxford",Head,None,None,Unclear,Pleased,0.21,Marble,Unknown,Unknown,Unknown,Unknown,No,No,No,Null,Null
Reused Severan Portrait Head of Woman,Nułl,Unknown,Sicilia,Palermo,Unknown,Sicilia,Palermo,37.63882,13.933804,Conjecture,Google Maps,60%,350,300,400,350,"Last Statues of Antiquity, University of Oxford",Head,None,None,Unclear,Displeased,0.25,Marble,Unknown,Unknown,Unknown,Unknown,Yes,Yes,No,Null,Null
Portrait Head of Woman With Central Braid That Reaches Brow,Null,Unknown,Sicilia,Palermo,Unknown,Sicilia,Palermo,37.665079,13.804106,Conjecture,Google Maps,60%,288,275,300,288,"Last Statues of Antiquity, University of Oxford",Head,None,None,Central Braid,Solemn,0.28,Marble,Unknown,Unknown,Unknown,Unknown,No,No,No,Null,Null
Base for Statue of Valeria Maximilia ,Null,Gabii,Campania,Montecompatri,Gabii,Campania,Montecompatri,41.88973,12.499117,Conjecture,Google Maps,60%,303,300,306,303,"Last Statues of Antiquity, University of Oxford",Base,None,None,None,None,Unknown,Marble,Valeria Maximilia ,Imperial Family,Valerius Romulus,Family Member,Null,Null,Null,Null,Null
Base for Statue of Gaia Nummia Ceonia Umbria Rufia Albina,Null,Beneventum,Campania,Beneventum,Beneventum,Campania,Beneventum,41.12713,14.783543,Conjecture,Google Maps,70%,280,260,300,280,"Last Statues of Antiquity, University of Oxford",Base,None,None,None,None,1.3,Local Stone,Gaia Nummia Ceonia Umbria Rufia Albina,Religious Office Holder,Unknown,Unknown,Null,Null,Null,Null,Null
Plaque from Base for Statue of Empress Helena,Null,Saepinum,Samnium,Campobasso,Sepino,Campobasso,Campobasso,41.410095,14.623623,Conjecture,Google Maps,80%,327,324,330,327,"Last Statues of Antiquity, University of Oxford",Base,None,None,None,None,Unknown,Unknown,Helena,Imperial Family,Council and People of Saepinum,Provincinal Cities,Null,Null,Null,Null,Null
Base for Statue of Empress Helena,Null,Salernum,Lucania et Bruttii,Unknown,Salerno,Unknown,Salerno,40.672224,14.789579,Conjecture,Google Maps,70%,325,323,326,325,"Last Statues of Antiquity, University of Oxford",Base,None,None,None,None,1.22,Marble,Helena,Imperial Family,Alpinius Magnus ,Provincial Governor,Null,Null,Null,Null,Null
