NameModern,Type of Sculpture,Medium,SizeMeters,LocationAncient1,LocationAncient2,LocationAncient3,LocationModern1,LocationModern2,LocationModern3,Latitude,Longitude,GeolocationSource,GeolocationCitation,GeolocationCertainty,Date,DateLow,DateHigh,DateDecision,Intent,Status,Who,Sect,NaturalisticScale1_5,Spolia,FreestandingOrRelief,Condition,Source,Discussion1,Discussion2,CatalogNumber
Portrait head of woman with layered crimped locks around face,Head,Marble,0.33,Narbonensis,Gaul,Europa,Chiragan,France,Europe,43.18972222,1.01333333,Documentary evidence,Wikipedia,80,Late 4th century,350,420,385,Unknown,Aristocrat,Unknown,Null,4,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-987,"Proportionate, good depth",,LSA-987
Portrait head of woman with complex series of 'crown' braids,Head,Marble,0.31,Narbonensis,Gaul,Europa,Chiragan,France,Europe,43.18972222,1.01333333,Documentary evidence,Wikipedia,80,4th century,300,400,350,Unknown,Unknown,Unknown,Null,3,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-988,"Oversized eyes, strange up-pointing chin",,LSA-988
Bronze portrait head with hair covered and decorative net,Head,Bronze,0.065,Unknown,Unknown,Europa,Bonn,Germany,Europe,50.733333,7.1,Documentary evidence,Wikipedia,0,Late 4th century,350,400,375,Unknown,Unknown,Unknown,Null,4,No,Freestanding,Nearly in tact,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-990,"Proportionate facial features, depth in face and head",,LSA-990
Portrait head of woman with central braid from limestone statuette,Head,Local Stone,0.123,Doclea,Illyricum,Europa,Duklja,Montenegro,Europe,42.468108,19.265639,Documentary evidence,Wikipedia,100,5th century,400,500,450,Unknown,Unknown,Unknown,Null,1,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-991,"Completely disproportionate, eyes are uneven and the same size as the nose and mouth.",,LSA-991
Portrait head of young woman with large central braid and corkscrew brow locks,Head,Marble,0.25,Unknown,Italia,Europa,Rome,Italy,Europe,41.8928,12.4824,Documentary evidence,Wikipedia,40,Late 3rd century-Early 4th century,270,315,293,Unknown,Unknown,Unknown,Null,3,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/discussion.php?id=1365,Central braid hairstyle and huge pupils,,LSA-993
Portrait head of woman with central braid and separately worked hair sections,Head,Marble,0.24,Roma,Italia,Europa,Rome,Italy,Europe,41.891944,12.489167,Documentary evidence,Wikipedia,100,Late 3rd century,250,300,275,Unknown,Aristocrat,Unknown,Null,4,Yes,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-995,"Potentially re-carved hairstyle, pretty proportionate and delicate handling of facial features either 2nd or 3rd century",,LSA-995
Portrait of woman with version of central braid hairstyle,Bust,Marble,0.33,Unknown,Italia,Europa,Rome,Italy,Europe,41.9,12.5,Documentary evidence,Wikipedia,30,Early 4th century,300,330,315,Unknown,Unknown,Unknown,Null,2,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-996,Ears show skill but eyes and brows are large and uneven. Not much definition in mouth.,,LSA-996
Portrait head of woman from Constantia,Head,Marble,0.27,Tomis,Dacia,Europa,Constantia,Romania,Europe,44.166667,28.633333,Documentary evidence,Wikipedia,100,Mid 3rd century- early 4th century,225,320,300,Unknown,Unknown,Unknown,Null,2,Yes,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-1001,Large eyes with markings date it later rather than earlier. Strange angle of neck/chin,,LSA-1001
Portrait head of woman with central braid from Aquileia,Head,Marble,0.18,Aquileia,Italia,Europa,Aquileia,Italy,Europe,45.769725,13.371192,Documentary evidence,Wikipedia,100,Late 3rd century,250,300,275,Unknown,Unknown,Unknown,Null,2,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-1022,"Central braid, deepset eyes and pouty lips but eroded",,LSA-1022
Portrait head for insertion of woman with 'crown' braid from Aquileia,Head,Marble,0.25,Aquileia,Italia,Europa,Aquileia,Italy,Europe,45.769725,13.371192,Documentary evidence,Wikipedia,100,Late 3rd century-early 4th century,280,330,305,Unknown,Unknown,Unknown,Null,2,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-1023,"Hairstyle not symmetrical, eyes are uneven",,LSA-1023
Portrait head of woman with forceful expression,Head,Unknown,0.21,Aquileia,Italia,Europa,Aquileia,Italy,Europe,45.769725,13.371192,Documentary evidence,Wikipedia,100,Late 3rd century,280,300,290,Unknown,Unknown,Unknown,Null,2,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-1025,Only eyes visible but very outlined.,,LSA-1025
Re-worked portrait head of imperial woman for insertion with diadem,Head,Marble,0.33,Ostia,Italia,Europa,Ostia,Italy,Europe,41.733244,12.278939,Documentary evidence,Wikipedia,100,4th century,300,400,350,Unknown,Aristocrat,Unknown,Null,3,Yes,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-1104,"Reworked, proportions are accurate but eyes are very outlined",,LSA-1104
Portrait head for insertion of the elder Agrippina re-used,Head,Marble,N/A,Bologna,Italia,Europa,Bologna,Italy,Europe,44.5075,11.351389,Documentary evidence,Wikipedia,70,4th century-5th century,300,499,380,Political,Empress,Agrippina,Null,3,Yes,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-1131,"Nose oversized, eyes very outlined, but rest of face shows decent depth",,LSA-1131
Female head wearing crown with inset stones,Head,Marble,0.32,Unknown,Italia,Europa,Rome,Italy,Europe,41.9,12.5,Documentary evidence,Wikipedia,20,Late 3rd century-early 5th century,280,500,340,Unknown,Unknown,Unknown,Null,3,Yes,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-1222,Wide date range but insets and large eyes point to earlier,,LSA-1222
Re-used Severan portrait head of woman,Head,Marble,0.25,Sicilia,Italia,Europa,Catania,Italy,Europe,37.5,15.090278,Documentary evidence,Wikipedia,50,4th century,300,400,350,Unknown,Unknown,Unknown,Null,3,Yes,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-1227,No detail in hair and heavily outlined lines are indicative of reuse,"Part of Biscari Collection, provenance probable.",LSA-1227
Portrait head of woman with central braid that reaches brow,Head,Marble,0.28,Sicilia,Italia,Europa,Catania,Italy,Europe,37.5,15.090278,Documentary evidence,Wikipedia,50,Late 3rd century,275,300,288,Unknown,Unknown,Unknown,Null,2,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-1228,"Poor proportions â€“ big eyes, small lips, huge nose â€“ little depth in face, some detail in hair",,LSA-1228
Portrait head of woman on statue of Hygeia,Full-Body,Marble,1.6,Roma,Italia,Europa,Rome,Italy,Europe,41.9,12.5,Documentary evidence,Wikipedia,40,Early 4th century,300,350,325,Religious,Goddess,Hygeia,Pagan,3,Yes,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-1271,"Imperial body statue of Hygeia, estimated 4th century BC. Not a lot of depth in the cheeks,",,LSA-1271
Headless portrait statue of woman,Full-Body (headless),Local Stone,1.61,Carnuntum,Panonia,Europa,Carnuntum,Austria,Europe,48.116667,16.866667,Documentary evidence,Wikipedia,100,Late 2nd century-early 4th century,193,350,275,Political,Empress,Unknown,Null,4,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-1273,"Legs seen under drapery, contrapposto",,LSA-1273
Statue of Coelia Concordia,Full-Body,Marble,1.72,Roma,Italia,Europa,Rome,Italy,Europe,41.8975,12.498611,Documentary evidence,Wikipedia,98,385,385,385,385,Religious,Chief of Vestals,Coelia Concordia,Vestal (Pagan),5,Yes,Freestanding,In tact,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-1296,Body of statue reused from a 1st/2nd century statue. Made for chief Vestal Virgin before Theodosius closed the Atrium Vestae (Temple of Vestal Virgins),,LSA-1296
Portrait head of woman with encircling braid (on alien bust),Head,Marble,0.28,Roma,Italia,Europa,Rome,Italy,Europe,41.888,12.451,Documentary evidence,Wikipedia,70,Late 3rd-early 4th century,285,325,305,Unknown,Unknown,Unknown,Null,4,No,Freestanding,Nearly in tact,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-1298,"Good facial depth, eyes too big",,LSA-1298
Portrait head of woman set on (alien?) statue of Fortuna,Head,Marble,N/A,Nemausus,Gaul,Europa,NÃ®mes,France,Europe,43.838,4.361,Documentary evidence,Wikipedia,100,Early 4th century,290,325,310,Unknown,Unknown,Unknown,Null,2,Yes,Freestanding,Nearly in tact,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-1299,"Decent facial depth, disproportionately large eyes and small lips",,LSA-1299
Under life-size statue of woman in chlamys,Full-Body (headless),Marble,1.23,Roma,Italia,Europa,Rome,Italy,Europe,41.9,12.5,Documentary evidence,Wikipedia,100,Mid 4th century-5th century,350,500,425,Unknown,Unknown,Unknown,Null,4,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-1314,"Wet drapery well-done, contrapposto. Back of the statue is fully rendered but flat below the buttocks. Shoes are late antique, proving later date.",,LSA-1314
Portrait statue of woman in pudicitia pose,Full-Body,Marble,1.75,Ostia,Italia,Europa,Ostia,Italy,Europe,41.733244,12.278939,Documentary evidence,Wikipedia,100,Late 2nd century-early 4th century,200,350,275,Unknown,Unknown,Unknown,Null,3,No,Freestanding,Nearly in tact,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-1556,,,LSA-1556
Male himation statue with portrait of girl,Full-Body,Marble,1.33,Cairo,Aegyptus,Africa,Cairo,Egypt,Africa,30.044444,31.235833,Documentary evidence,Wikipedia,70,4th century,300,400,350,Unknown,Unknown,Unknown,Null,3,Yes,Freestanding,Nearly in tact,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-1560,"Statue of a male in himation recut with portrait of a girl, hairstyle.",,LSA-1560
Portrait head of woman with encircling braid and inset pupils,Head,Marble,0.26,Cairo,Aegyptus,Africa,Cairo,Egypt,Africa,30.044444,31.235833,Documentary evidence,Wikipedia,70,Early 4th century,300,350,325,Unknown,Unknown,Unknown,Null,2,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-1561,"Poor modeling of face, no depth.",,LSA-1561
Statue of the 'Good Will of Philip' (Ennoia Philippou),Full-Body (headless),Marble,1.67,Ephesus,Anatolia,Asia Minor,Selçuk,Turkey,Asia Minor,37.939139,27.34075,Documentary evidence,Wikipedia,100,5th century,100,550,480,Religious,Allegory,Ennoia,Pagan,5,Yes,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-1596,"Ceres type, statue from 1st/2nd century re-used as Ennoia",,LSA-1596
Graywacke portrait statue of Agrippina the Younger re-used for late Empress,Full-Body,Marble,2.12,Roma,Italia,Europa,Rome,Italy,Europe,41.885,12.496667,Documentary evidence,Wikipedia,100,4th-5th century,325,500,480,Political,Empress,Unknown,Null,4,Yes,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-1597,"Re-used three times, most notably statue of Agrippina but later reused for young empress. Face shows great detail and proportions, body and drapery lack.",,LSA-1597
Lower body of female statue,Lower Half of Body,Marble,N/A,Chalcedon,Anatolia,Asia Minor,Chalcedon,Turkey,Asia Minor,40.983333,29.033333,Documentary evidence,Wikipedia,100,Late 3rd century-early 4th century,250,400,380,Unknown,Unknown,Unknown,Null,3,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-2096,"Poor drapery, a little modeling can be seen of legs underneath but lacks detail and naturalism in drapery.",,LSA-2096
Portrait head of woman worked in separate pieces,Head,Marble,0.31,Luceria,Italia,Europa,Lucera,Italy,Europe,41.5,15.333333,Documentary evidence,Wikipedia,100,Early 4th century,300,350,325,Unknown,Unknown,Unknown,Null,2,Yes,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-2124,"Disproportionate face, worked three separate pieces.",,LSA-2124
Portrait head of woman with multiple encircling braids,Head,Marble,0.275,Lepcis Magna,Libya,Africa,Khoms,Libya,Africa,32.639167,14.290556,Documentary evidence,Wikipedia,100,4th century,300,350,325,Unknown,Unknown,Unknown,Null,4,No,Freestanding,Nearly in tact,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-2142,"Aged woman, good detail of face, wrinkles, eyes are a bit outlined",,LSA-2142
Fragment of female portrait head with central braid from Athens,Head,Marble,0.28,Athens,Grecia,Europa,Athens,Greece,Europe,37.983972,23.727806,Documentary evidence,Wikipedia,100,Late 3rd century-early 5th century,270,450,400,Unknown,Aristocrat,Unknown,Null,4,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-2298,"Definition of eyes and cheeks, detail of hair makes naturalism 4",,LSA-2298
Portrait head of woman from Athens,Head,Marble,0.26,Athens,Grecia,Europa,Athens,Greece,Europe,37.983972,23.727806,Documentary evidence,Wikipedia,100,Late 3rd century,240,300,280,Unknown,Unknown,Unknown,Null,4,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-2299,Similar to portraits of Ulpia Severina. Almost naturalistic puts it before 300 ad,,LSA-2299
Portrait bust of Aurelia Euposia,Bust,Marble,0.67,Melos,Grecia,Europa,Milos,Greece,Europe,36.683333,24.416667,Documentary evidence,Wikipedia,100,Late 3rd century,250,300,275,Political,Religious Chief,Aurelia Euposia,Pagan,4,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-2300,"Older date because no holes for pupils, still facial features are a bit wonky/uneven",,LSA-2300
Portrait statue of woman playing lyre,Full-Body,Marble,1.25,Tarquinia,Italia,Europa,Tarquinia,Italy,Europe,42.249167,11.756111,Documentary evidence,Wikipedia,100,Late 3rd century,260,315,315,Religious,Muse,Unknown,Pagan,3,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-2303,"Proportionate body but not face, lack of detail and poor drapery",,LSA-2303
Statue of Victory dedicated by Symmachus,Full-Body (headless),Marble,2.55,Carthago,Numidia,Africa,Carthage,Tunisia,Europe,36.856111,10.315083,Documentary evidence,Wikipedia,100,373-374,373,374,374,Religious,Deity,Victory,Pagan,4,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-2391,"Wet drapery, shows body and thin drapery at legs. Some less detailed so 4 for naturalism",,LSA-2391
Small silver portrait of woman (with restored face),Bust,Silver,0.142,Augusta Treverorum,Belgica,Europa,Trier,Germany,Europe,49.75,6.633333,Documentary evidence,Wikipedia,100,Late 4th century-early 5th century,370,450,410,Unknown,Aristocrat,Unknown,Null,1,No,Freestanding,In tact,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-2403,"Silver portrait shows no naturalism in face, wide neck, not proportionate",,LSA-2403
