 NameModern,NameAncient,LocationAncient1,LocationAncient2,LocationAncient3,LocationModern1,LocationModern2,LocationModern3,Lat,Long,GeolocationSource,GeolocationCitation,GeolocationCertainty,Date,DateLow,DateHigh,DateDecision,Roman Dynasty,CivilWar,Battle Outcome,Main Barbarian Ethnicity,Other Notable Barbarian Ethnicities, Leading Roman General ,Other Roman Generals,Leading Barbarian/Rebel General,Other Barbarian/Rebel Generals,Notes1,Notes2,Notes2,Citation1,Citation2
Rome,Rome,Roma,Italia,Europa,Rome,Italy,Europe,41.9,12.5,Documentary,Wikipedia,100%,546,546,546,546,Justinian,No,Roman Victory,Ostrogoths,,Belisarius,,Totila,,,,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 157.",
Rome,Rome,Roma,Italia,Europa,Rome,Italy,Europe,41.9,12.5,Documentary,Wikipedia,100%,547,547,547,547,Justinian,No,Roman Victory,Ostrogoths,,Belisarius,,Totila,,,,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 157.",
Sufetula,Sufetula,Sufetula,Byzacena,Africa,Sbeitla,Tunisia,Africa,35.229722,9.129444,Documentary,Wikipedia,100%,547,547,547,547,Justinian,No,Roman Victory,Berbers,,John Troglita,,Antalas,,,,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 169.",
Plain of Gallica,Plain of Gallica,Plain of Gallica,Byzacena,Africa,Plain of Gallica,Tunisia,Africa,33.633333,10.3,Documentary,Wikipedia,100%,547,547,547,547,Justinian,No,Barbarian Victory,Berbers,,John Troglita,,Carcasan,,Also known as battle of Marta,,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 148.",
Fields of Cato,Fields of Cato,Fields of Cato,Byzacena,Africa,Fields of Cato,Tunisia,Africa,34.468333,10.413056,Documentary,Wikipedia,70%,548,548,548,548,Justinian,No,Roman Victory,Berbers,,John Troglita,,Carcasan,,"Unclear location, using location of Iunca, close to the location.",,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 97.",
Laureate,Laureate,Laureate,Dalmatia,Europa,Laureta,Croatia,Europe,43.538438,16.474342,Documentary,Wikipedia,70%,549,549,549,549,Justinian,No,Barbarian Victory,Ostrogoths,,Claudian,,Indulf,,"Small town of Laureate unknown, using nearby city of Salonae (Salona) for coordinates",,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 115.",
Hippis River,Hippis River,Flumen Hippis,Mochrenis,Lazica,Tskhenistskali,Georgia,Eurasia,42.1252,42.2989,Documentary,Wikipedia,90%,549,549,549,549,Justinian,No,Roman Victory,Persians,,Dagisthaeus,Goubazes,Chorianes,,Lazicans aided the Romans,,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 103.",
Caranalis,Caranalis,Caranalis,Sardinia,Mare Internum,Cagliari,Sardinia,Mediterranean Sea,39.227778,9.111111,Documentary,Wikipedia,100%,551,551,551,551,Justinian,No,Barbarian Victory,Ostrogoths,,John Troglita,,Totila,,,,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 77.",
Sena Gallica,Sena Gallica,Sena Gallica,Italy,Europa,Senagallia,Italy,Europe,43.716667,13.216667,Documentary,Wikipedia,100%,551,551,551,551,Justinian,No,Roman Victory,Ostrogoths,,Valerian,,Totila,,,,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 164.",
Archaeopolis,Archaeopolis,Archaeoplis,Lazica,Asia,Nokalakevi,Georgia,Eurasia,42.357222,42.193889,Documentary,Wikipedia,100%,551,551,551,551,Justinian,No,Roman Victory,Persians,,Babas,Odonachus,Memeroes,,,,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 57.",
Trachea,Trachea,Trachea,Abasgia,Asia,Trachea,Georgia,Eurasia,43.094269,40.808647,Documentary,Wikipedia,60%,551,551,551,551,Justinian,No,Roman Victory,Abasgi,,John of Amenia,Uligagus,Opsites,,"Location of Trachea unclear. Using capital of Abasgia, (Anacopia) as coordinates",,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 57.",
Tadinae,Tadinae,Tadinae,Italia,Europa,Gualdo Tadino,Italy,Europe,43.233333,12.783333,Documentary,Wikipedia,100%,552,552,552,552,Justinian,No,Roman Victory,Ostrogoths,"Heruli, Lombards",Narses,,Totila,,Heruli and Lombards fought on the side of the Romans,,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 170.","Heather, Peter. Rome Resurgant. New York: Oxford Unviersity Press, 2018, 266."
Mons Lactarius,Mons Lactarius,Mons Lactarius,Italia,Europa,Latarri Mountains,Italy,Europe,40.65,14.5,Documentary,Wikipedia,100%,552,552,552,552,Justinian,No,Roman Victory,Ostrogoths,,Narses,,Teias,,,,,"Heather, Peter. Rome Resurgant. New York: Oxford Unviersity Press, 2018, 266.",
Ariminum,Ariminum,Ariminum,Romania,Italia,Rimini,Romagna,Italy,44.05,12.566667,Documentary,Wikipedia,100%,553,553,553,553,Justinian,No,Roman Victory,Franks,,Narses,,Unknown,,,,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 61.",
Casilinus River,Casilinus River,Flumen Casilinus,Italia,Europa,Volturno River,Italy,Rome,41.091667,14.056667,Documentary,Wikipedia,100%,554,554,554,554,Justinian,No,Roman Victory,Franks,"Alemmani, Heruli",Narses,,Butilinus,Leutharis,,,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 61.",
